# i	1	2
1.0	7.549452970072745e-19	1.9791057748911785e-16
2.0	-5.439093687162264e-18	7.002879439792312e-17
3.0	1.2316765266427547e-16	9.890872190118216e-18
4.0	2.084478743412554e-16	-2.5199195662881574e-17
5.0	-3.1826367130036184e-17	-3.8506141558653e-14
6.0	-3.891623034063698e-17	-4.4705780202162314e-14
7.0	-5.601678221505727e-16	-1.3036227805570647e-14
8.0	-6.137219205677974e-16	-1.4507567410148496e-14
9.0	2.5013435388542295e-16	-3.686930743395431e-14
10.0	3.2980373932232423e-16	-4.0068664784954006e-14
11.0	-5.262574596676857e-17	-3.139215703003876e-13
12.0	-7.186972154286243e-17	-3.3624225957667004e-13
13.0	-3.283790674752049e-16	-1.7483244993110752e-12
14.0	-3.86384412384e-16	-1.8539907353847742e-12
15.0	-7.863190560961805e-17	-4.34747098505358e-14
16.0	-8.132497303258477e-17	-4.5781001772682136e-14
17.0	-9.052861490889861e-17	-2.5027366378397466e-14
18.0	-1.3919008241110096e-16	-2.6238858164950905e-14
19.0	2.2411013465706144e-16	-2.1045322694956393e-13
20.0	2.1613528102183195e-16	-2.1986864982045814e-13
21.0	-5.662562553594865e-17	-6.905914185204859e-13
22.0	-9.626806918197788e-17	-7.202026362587596e-13
23.0	1.0432066531533855e-16	5.1235403381598474e-15
24.0	1.0409095560241169e-16	5.3812671175328585e-15
25.0	-1.6452082647487847e-17	-4.678150168907583e-16
26.0	-1.545661119785741e-17	-4.527658199816426e-16
27.0	6.228383455896633e-16	2.902251422602555e-16
28.0	6.095278996583399e-16	3.3823507302194627e-16
29.0	2.3792678427622246e-15	5.867204962029442e-15
30.0	2.4036523475544585e-15	5.203329923216971e-15
31.0	1.8885021113099013e-13	1.8613870826406828e-13
32.0	2.2299847746955366e-13	2.1980290989842789e-13
33.0	-6.557665901162532e-11	4.3470387769046046e-11
34.0	-5.572635021954695e-11	3.6940762364434114e-11
35.0	-4.375680875943383e-16	-6.771961871941603e-14
36.0	-4.844845622910292e-16	-6.27679457934888e-14
37.0	3.932008073319212e-16	1.5471272358072406e-16
38.0	3.9406152075311137e-16	1.510893418287302e-16
39.0	1.890329151755793e-17	-1.7668685587860353e-15
40.0	1.2043495695348198e-17	-1.8028222448094187e-15
41.0	1.082567472161686e-14	2.7877822250197972e-14
42.0	1.0613000472320615e-14	2.7241463625849486e-14
43.0	-7.763655982992712e-17	4.2142705786904984e-15
44.0	-9.018709663840286e-17	4.1194225217350354e-15
45.0	4.451240996542304e-18	1.7194346947070168e-15
46.0	-4.245028208309123e-17	1.784824561188924e-15
47.0	1.2201117406591492e-16	-1.5504205571874411e-16
48.0	1.2080403008459483e-16	-2.0180187675092328e-16
49.0	4.099486010487288e-15	-7.808050242152632e-16
50.0	4.09597471042628e-15	-7.770783602874652e-16
51.0	-2.266998110261517e-17	6.0311549762693125e-18
52.0	-2.4220321250143104e-17	-3.7425345334924473e-17
53.0	-3.3055095712729892e-15	3.6302190912769253e-16
54.0	-3.3542405214232638e-15	3.582368482320901e-16
55.0	-3.842101601513419e-18	2.9499784011792713e-18
56.0	-1.506192498864431e-17	6.807003425364424e-17
57.0	4.55841563115648e-17	6.406632936727621e-18
58.0	1.059243511163319e-16	2.1241586601940135e-17
59.0	4.9339700458201484e-17	3.4473714707368845e-16
60.0	5.4861016251916077e-17	2.6213758290741796e-16
61.0	-1.0941576232086694e-14	2.353070683717169e-17
62.0	-1.1261634267588823e-14	1.5801401405751895e-16
63.0	1.1625516258361397e-10	1.1638627527522796e-10
64.0	1.3680478751010922e-10	1.3695892273155215e-10
65.0	-3.959920001940237e-5	-3.9599202986457366e-5
66.0	-3.36510138892597e-5	-3.3651016410778e-5
67.0	-7.385455917513775e-15	1.2454487945243852e-14
68.0	-6.946553839671967e-15	1.1783528238721405e-14
69.0	4.4021836937700976e-17	-2.068804312995742e-15
70.0	4.841756109694244e-17	-1.9262851253474306e-15
71.0	-3.525885919975142e-16	-8.675009019189895e-16
72.0	-3.1271428264597824e-16	-8.339800743473013e-16
73.0	5.566522765335273e-16	3.48736886882135e-15
74.0	5.32307218693935e-16	3.3686925593790736e-15
75.0	3.556331087685009e-15	-8.02083349174475e-15
76.0	3.5487440111591402e-15	-7.90739418522273e-15
77.0	-1.5079680663849167e-17	-4.023231361281333e-16
78.0	-1.574595491671507e-17	-4.3354200710273455e-16
79.0	1.6938170381421575e-15	1.6169294091151123e-14
80.0	1.789617981420916e-15	1.5997024737963603e-14
81.0	-4.3645624409273855e-16	-4.256611224511775e-18
82.0	-4.492277684643869e-16	-3.143707572227771e-17
83.0	6.00238498168094e-17	1.1847169852769408e-17
84.0	1.9013244339115785e-17	1.0174303732502303e-17
85.0	6.145755606462995e-17	-9.661548978590863e-18
86.0	6.635408038734101e-17	-1.2459220384786463e-17
87.0	-2.3838302551380697e-18	-1.9211526061038436e-17
88.0	-7.685699115254126e-18	-2.3997490143756817e-17
89.0	-6.75827270482301e-17	-5.559338702860394e-18
90.0	-1.2096255381755086e-16	-4.424148712728596e-18
91.0	-3.243940883092782e-15	-6.787408263566296e-15
92.0	-3.3947342096522937e-15	-7.03070287896517e-15
93.0	-5.7651178496231474e-15	1.2884145320492435e-14
94.0	-5.4692968080129735e-15	1.345305679263154e-14
95.0	-1.4338551071936312e-16	1.0975873122955565e-15
96.0	-1.6990055024899498e-16	1.254102908856388e-15
