# i	20
1.0	0.49493613839149475
2.0	0.3146511912345886
3.0	-1.1296527191007044e-5
4.0	-8.090468327281997e-6
5.0	-9.7426063803141e-6
6.0	-8.539150258002337e-6
7.0	-1.9344133761478588e-5
8.0	-1.879306000773795e-5
9.0	9.491325727140065e-6
10.0	8.2452907008701e-6
11.0	2.556046183599392e-6
12.0	2.1704388473153813e-6
13.0	-1.0852104423975106e-5
14.0	-1.0573357030807529e-5
15.0	3.629663751780754e-6
16.0	4.58646536571905e-6
17.0	-2.356403274461627e-5
18.0	-1.8581511540105566e-5
19.0	-5.3652671340387315e-5
20.0	-1.8296575944987126e-5
21.0	-8.218154107453302e-6
22.0	-9.134284482570365e-6
23.0	-9.633987247070763e-6
24.0	-1.4110744814388454e-5
25.0	-0.0466449111700058
26.0	-0.038782160729169846
27.0	4.448868367035175e-6
28.0	5.4215888667386025e-6
29.0	-2.6724080726125976e-7
30.0	-8.572393994654703e-7
31.0	1.83168776857201e-5
32.0	2.6292733309674077e-5
33.0	1.7759747379386681e-6
34.0	1.9335200249770423e-6
35.0	1.8384493159828708e-5
36.0	2.2353167878463864e-5
37.0	-1.925366814248264e-5
38.0	-2.5993480448960327e-5
39.0	-0.21893253922462463
40.0	-0.3427828252315521
