# sweep	energy	spin	maxdim	dmrg_maxerr
1	-7.306764602661133	0.8215908408164978	50	0.00010690356430131942
2	-7.3688788414001465	0.8259515762329102	100	6.597354513360187e-5
3	-7.398865222930908	0.8260118365287781	150	5.2634713938459754e-5
4	-7.424480438232422	0.8249958157539368	200	2.834164297382813e-5
5	-7.437340259552002	0.8242563009262085	300	5.134705133968964e-6
6	-7.44182014465332	0.8239942789077759	400	5.676194518855482e-7
7	-7.443308353424072	0.8238745927810669	500	6.496741633554848e-8
8	-7.443792819976807	0.8238058090209961	700	9.559677494053176e-9
9	-7.443935871124268	0.8237565755844116	900	1.5981899137429423e-9
10	-7.444003582000732	0.8237162232398987	1200	1.7628369597399995e-10
11	-7.444040298461914	0.8236714601516724	1244	9.998941258304583e-11
12	-7.444060325622559	0.8236337900161743	1204	9.998603334171463e-11
13	-7.444075584411621	0.8235939741134644	1175	2.2495116880349997e-8
14	-7.444079875946045	0.8235564231872559	1133	4.036717626831887e-8
15	-7.444104194641113	0.8235141038894653	1109	8.878667756562209e-8
16	-7.444143772125244	0.8234784603118896	1128	1.3184182989789406e-7
17	-7.444167613983154	0.8234419822692871	1110	2.0045773396759614e-7
18	-7.444179534912109	0.8234022855758667	1101	1.248752656834995e-8
19	-7.444198131561279	0.8233645558357239	1111	3.970932738184274e-8
20	-7.44420051574707	0.823324978351593	1102	1.4521202729156357e-7
21	-7.4442033767700195	0.8232817649841309	1117	5.710948514092706e-8
22	-7.444217205047607	0.823249101638794	1061	2.051112346634909e-7
23	-7.4442524909973145	0.8232150077819824	1103	8.577698906719888e-8
24	-7.4442315101623535	0.8231760859489441	1088	4.003901210580807e-8
25	-7.444255352020264	0.8231438398361206	1109	8.78212702559722e-8
26	-7.444248199462891	0.8231041431427002	1090	5.395562396870446e-8
27	-7.444283962249756	0.8230746984481812	1108	5.976818329145317e-8
28	-7.4442901611328125	0.8230319023132324	1110	9.96281386278497e-8
29	-7.444328308105469	0.8230012059211731	1082	1.1646221764749498e-7
30	-7.444299697875977	0.8229720592498779	1127	8.094541925629528e-8
31	-7.444344520568848	0.8229309320449829	1088	7.369886390051761e-8
32	-7.444339752197266	0.8229057788848877	1032	6.52393197242418e-8
33	-7.44435453414917	0.8228805065155029	1123	1.1705407132467371e-7
34	-7.444345951080322	0.8228423595428467	1107	1.1632431551333866e-7
35	-7.4443817138671875	0.8228181004524231	1110	3.924319003090204e-8
