# i	3	16	31	38	48	80	95
1.0	-3.2043049944354134e-32	1.387533861002748e-31	-1.2559344743784806e-32	6.66742302725867e-44	1.5105524994171538e-32	-9.04597026575689e-46	-4.044509282963671e-33
2.0	-1.0481570282252229e-31	5.333754385017985e-31	-5.170504582035454e-32	3.538317603431291e-43	3.065644829054054e-32	-3.3230323249163114e-45	-2.367316002292381e-32
3.0	-6.218961249032172e-18	-3.90606748440078e-15	2.1060874211182234e-18	-1.2450747686758005e-17	-7.12514758518103e-17	2.791302620614743e-15	1.1759300794251972e-15
4.0	1.5849723502840136e-17	-5.022496749381333e-15	-9.232911167647991e-17	-3.706884140507299e-17	-6.333494923246798e-17	3.470768148063065e-15	1.6398430852071964e-15
5.0	-2.0200689246099435e-16	-4.644201525292242e-16	3.740081266190925e-15	2.6606089868273583e-15	4.362554379501939e-15	-3.5050775022886246e-12	2.1253294596695684e-12
6.0	-3.140821674333446e-16	-5.192365245135394e-16	4.4326176218723735e-15	3.1556586493088994e-15	5.333853229889239e-15	-3.864468028056112e-12	2.3288127321433835e-12
7.0	-2.0264943548455066e-15	3.9103903919801404e-16	5.1585831263619094e-17	4.829683334409833e-17	-1.5844579478256551e-16	-3.2436784939448827e-13	-1.1753306176631537e-14
8.0	-2.4038629675547807e-15	4.4103150624741107e-16	8.204265336876076e-17	7.234837645237778e-17	-1.5577253611262343e-16	-3.4768064286483365e-13	-2.3208270376396854e-14
9.0	-7.592760883783654e-16	-7.58259147296858e-17	5.683294165127961e-18	7.551570465589825e-17	-2.2912758555809226e-14	5.9635895459042535e-15	1.0839716622118019e-14
10.0	-7.331277258584884e-16	-1.4701400142881844e-16	-2.5182807736569404e-17	9.480171650019808e-17	-2.4752698927378565e-14	3.693429850212994e-15	1.8132515982788203e-14
11.0	8.085554287195566e-16	-2.376960415045431e-16	8.140047765710824e-18	3.7220792567668195e-17	-8.509945886407812e-17	-1.4017049785993324e-14	6.740486413276136e-15
12.0	7.261354192259359e-16	-2.1839163173639326e-16	1.6419090333917853e-18	6.738035359847185e-17	-9.668607865478623e-17	-1.65257314575848e-14	5.644590977370147e-15
