# i	20
1.0	0.01604475826025009
2.0	-2.757543597908807e-7
3.0	-1.1044227221645997e-7
4.0	5.165196853340603e-6
5.0	4.486876150622265e-6
6.0	2.682120793906506e-6
7.0	3.3831615837698337e-6
8.0	-9.9620638138731e-7
9.0	8.436196367256343e-5
10.0	1.7314196298912066e-8
11.0	-3.476757015619114e-8
12.0	-6.320212975197137e-8
13.0	2.1512738257456476e-8
14.0	4.1329381019750144e-6
15.0	2.646362645464251e-6
16.0	0.03404058888554573
17.0	-0.05242103710770607
18.0	-1.641514813854883e-6
19.0	-2.5569133867975324e-6
20.0	-0.4603494107723236
21.0	-0.36433595418930054
22.0	-2.58787872553512e-6
23.0	-1.9479361981211696e-6
24.0	-0.011469416320323944
25.0	0.010685061104595661
26.0	9.276955097448081e-7
27.0	1.7561869753990322e-6
28.0	-2.311647449459997e-6
29.0	-2.302129360032268e-6
30.0	1.1128220194223104e-6
31.0	7.152582384151174e-7
32.0	-0.0002702997298911214
33.0	3.6497553992376197e-6
34.0	2.2639051167061552e-6
35.0	2.4377673071285244e-6
36.0	-4.97763835483056e-7
37.0	-5.872524155847714e-8
38.0	-4.780607014254201e-6
39.0	-3.6961023397452664e-6
40.0	0.03282711282372475
