# i	21
1.0	-0.0028863667976111174
2.0	-7.633546488250431e-7
3.0	-1.1503432233439526e-6
4.0	-1.2620883353520185e-5
5.0	-1.9290690033813007e-5
6.0	-5.292498030939896e-7
7.0	4.2736874661386537e-7
8.0	7.923624252725858e-6
9.0	-0.0033381253015249968
10.0	1.2207858617330203e-6
11.0	1.1546643463589135e-6
12.0	-1.0635295666361344e-6
13.0	1.0636125580276712e-6
14.0	3.2716111491026822e-6
15.0	2.928473350038985e-6
16.0	0.00011148390331072733
17.0	0.0051336283795535564
18.0	-1.5591133433190407e-6
19.0	-1.987959421967389e-6
20.0	-0.24088741838932037
21.0	-0.2606479525566101
22.0	-1.2773114121955587e-7
23.0	9.499250950284477e-7
24.0	-0.00041140837129205465
25.0	-1.1999311936961021e-5
26.0	7.228679805848515e-7
27.0	-3.465006770397849e-8
28.0	-2.9966695365146734e-6
29.0	-3.1681047403253615e-6
30.0	5.350422611627437e-7
31.0	1.5032051123853307e-6
32.0	-1.054860058502527e-5
33.0	1.1326718549753423e-6
34.0	-1.0093091162843848e-7
35.0	-2.695927321383351e-7
36.0	-5.226387997936399e-7
37.0	-6.610630975956155e-7
38.0	1.1524382898642216e-5
39.0	7.887358151492663e-6
40.0	-0.00011576980614336208
