# sweep	energy	spin	maxdim	dmrg_maxerr
1	-7.308538913726807	0.8205853700637817	50	5.694196079275571e-5
2	-7.370229244232178	0.8188724517822266	100	2.525104719097726e-5
3	-7.395455360412598	0.8191618919372559	150	3.505603308440186e-5
4	-7.418257713317871	0.8190076351165771	200	4.840734618483111e-5
5	-7.4292311668396	0.8184112310409546	300	1.9945669919252396e-5
6	-7.4353413581848145	0.8181025981903076	400	7.869015462347306e-6
7	-7.438429832458496	0.817990779876709	500	3.133204700134229e-6
8	-7.439635753631592	0.8179101347923279	700	4.423462769409525e-7
9	-7.440157413482666	0.8178368806838989	900	7.558976022892239e-8
10	-7.440360069274902	0.8177834749221802	1200	7.101665477904362e-9
11	-7.440469741821289	0.8177414536476135	1600	5.483362097713496e-10
12	-7.44052791595459	0.8177086710929871	1943	1.1810034894477184e-10
13	-7.440563201904297	0.8176825046539307	1791	4.002662379321009e-8
14	-7.440597057342529	0.8176565170288086	1694	4.9310944660874156e-8
15	-7.440617084503174	0.8176325559616089	1643	9.577303217156441e-8
16	-7.440634250640869	0.8176088333129883	1451	4.7674539871422894e-8
17	-7.440667629241943	0.8175879716873169	1356	2.1667354133114713e-8
18	-7.440650463104248	0.8175667524337769	1318	1.6028798199840821e-7
19	-7.440684795379639	0.8175476789474487	1318	7.22313089340787e-8
20	-7.440659046173096	0.8175275325775146	1352	5.661703283976749e-8
21	-7.440683841705322	0.8175071477890015	1340	3.7091236748665324e-8
22	-7.440714359283447	0.8174905776977539	1349	4.556522625875914e-8
23	-7.440715789794922	0.8174703121185303	1333	1.549629615738013e-7
24	-7.440705299377441	0.8174511194229126	1315	8.169745768782377e-8
25	-7.440706729888916	0.8174318075180054	1344	1.505048032868217e-7
26	-7.440722465515137	0.8174179792404175	1335	5.816609061071176e-8
27	-7.440729141235352	0.8174007534980774	1341	9.114768317886046e-8
28	-7.440743923187256	0.8173850178718567	1359	6.134790453415917e-8
29	-7.440744400024414	0.8173713088035583	1326	1.2585823583322053e-7
30	-7.440770626068115	0.8173563480377197	1320	7.980103333693478e-8
31	-7.440758228302002	0.8173420429229736	1249	1.3956018563021644e-7
32	-7.440761089324951	0.8173302412033081	1255	4.735571224045998e-8
33	-7.440764904022217	0.8173176646232605	1278	6.340923874859072e-8
34	-7.440770626068115	0.8173049688339233	1316	7.408887370274897e-8
35	-7.44075870513916	0.8172939419746399	1255	6.4072594341269e-8
