# i	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
1.0	0.2500000079020569	0.15911066813277794	-4.661812748530167e-5	-3.4959426738669346e-5	-1.9017212426776427e-5	-1.6408319668316814e-5	-7.552692788927293e-6	-7.261703166189126e-6	-7.3560829088105496e-6	-5.308568737172684e-6	3.9167135070395515e-8	-1.738290031599014e-8	3.1467978264478852e-6	3.1557955656787845e-6	4.541441140523792e-6	5.498163430885057e-6	4.169267197917182e-6	3.4187913263552662e-6	-5.850903502017252e-5	-2.0376561678194362e-5	3.5996393183187884e-6	4.264916424152193e-6	1.5447623531992562e-6	2.3529251134090626e-6	-0.001377563146547809	-0.0010816993782181185	1.8488520202500327e-7	2.247494105900652e-7	1.0308693697540367e-6	1.0226779192552826e-6	-1.4499879243553573e-5	-2.0632937284008512e-5	9.744261251380216e-7	1.0622011747154743e-6	3.2557918324259265e-7	6.678355159801596e-7	-2.3801056808322367e-5	-3.170391005218043e-5	-0.12125846393027165	-0.1888634805421625
2.0	0.15911066813277794	0.2499999578807909	-4.687884927115238e-5	-2.8156667187392186e-5	-1.2398706383116392e-5	-1.0274285323808388e-5	-5.385418855893166e-6	-5.167671612390456e-6	-8.64493607758314e-6	-5.1392354713502425e-6	8.138460530521686e-7	5.239207695893753e-7	2.0980835551712887e-6	2.144542471400196e-6	2.959573456284381e-6	3.5582381899133383e-6	2.4561637000542096e-6	2.050496489213358e-6	-4.9531335677446353e-5	-1.685715568295991e-5	2.338013678558981e-6	2.7235499182546447e-6	9.895952781076908e-7	1.4980574316447856e-6	-0.0008767682046339667	-0.0006884600712868671	1.2441159535945172e-7	1.4727037898724926e-7	6.579897637462899e-7	6.522796321805496e-7	-9.265391035085206e-6	-1.314537132945864e-5	6.239816565246715e-7	6.791342398043427e-7	2.110567241562817e-7	4.289834545266971e-7	-1.5148004806590494e-5	-2.017814474333801e-5	-0.07722611664008765	-0.1202006769343585
3.0	-4.661812748530167e-5	-4.687884927115238e-5	0.2500000061371769	0.1555212377234349	6.202869678047416e-6	4.577181288351255e-6	3.3810332872967475e-6	3.6134986012321037e-6	0.03924125786128003	0.026242012426578816	1.392475568409322e-7	2.4824890757490225e-7	-5.199135508657879e-7	-6.05154500727588e-7	-9.734520703773636e-10	-1.09740198497344e-9	1.8342899805786852e-8	1.119490720244475e-8	1.054122137599043e-8	3.6340741763487177e-9	-9.711831230897473e-10	-9.327867700998998e-10	-3.0180087839536197e-10	-4.57732017420937e-10	2.749904620221329e-7	2.1615922360307956e-7	-1.926592638144983e-11	-2.9173876235730295e-11	-2.0458228651368021e-10	-2.0362247728509113e-10	2.889067882480924e-9	4.104428176613176e-9	-1.7806592013159328e-10	-1.9591011894000415e-10	-6.17620938732033e-11	-1.2942856323837522e-10	4.711156433008581e-9	6.279179002943665e-9	2.3997064911996918e-5	3.7379001210048896e-5
4.0	-3.4959426738669346e-5	-2.8156667187392186e-5	0.1555212377234349	0.2499999096499546	8.736989132122428e-6	4.9274681101346736e-6	2.880355274344909e-6	2.9557757910255106e-6	0.02828811552890467	0.018418457973216035	3.011640887669569e-7	8.125382953123165e-8	-4.769895117948879e-7	-4.885638078370453e-7	-8.965877917823203e-10	-9.90972006669754e-10	-8.889788608014833e-8	-8.159769821034825e-8	7.499940484987006e-9	2.6575380236606127e-9	-8.499639689378587e-10	-5.973236750888281e-10	-2.3196867464389003e-10	-3.442597622268765e-10	2.1034801086703109e-7	1.6453021656309416e-7	-9.865455378480425e-12	-1.781992687548958e-11	-1.5679889914218152e-10	-1.559880203563468e-10	2.206069289376391e-9	3.1083008455986774e-9	-1.3534496301063493e-10	-1.4905288737271294e-10	-4.623050926238453e-11	-9.773407542604632e-11	3.5552985211508878e-9	4.736089558199876e-9	1.8104164090544393e-5	2.8191033418574794e-5
5.0	-1.9017212426776427e-5	-1.2398706383116392e-5	6.202869678047416e-6	8.736989132122428e-6	0.2499998991982585	0.16280297542055186	1.568844427242069e-6	1.6503443486966184e-6	-8.310122005090081e-7	-9.704873550168969e-7	5.99492123874799e-7	8.510823100286481e-7	-5.058443365710169e-7	-3.302308954423069e-7	-1.324074015161263e-8	-1.0718340331705566e-8	-6.350969283811084e-7	-3.0316475732082783e-7	1.3368750542275454e-8	5.5800090165349175e-9	1.729426171804985e-9	3.000461771293688e-9	-1.281240920557386e-10	-2.0959814246643604e-10	1.1945828042476915e-7	9.395387295654862e-8	-2.805754676115918e-11	-2.408165369746869e-11	-7.927517966543894e-11	-8.651312129543534e-11	1.1724024448342395e-9	1.6524660769800588e-9	-7.834877865533963e-11	-8.138453637351151e-11	-3.8551543862027913e-11	-7.263835464836624e-11	1.8665515864272785e-9	2.4886555499297974e-9	9.548085681253654e-6	1.4871035520763282e-5
6.0	-1.6408319668316814e-5	-1.0274285323808388e-5	4.577181288351255e-6	4.9274681101346736e-6	0.16280297542055186	0.24999987408734756	1.994590823556469e-6	1.5692749711703274e-6	-1.010618353219089e-6	-1.0511590711860877e-6	8.443207959041982e-7	9.480988488030223e-7	-6.175424939901861e-7	-3.495799575873944e-7	-5.523887557826641e-9	-6.298259020834239e-9	-3.3778583096362504e-7	-1.4408281655241422e-7	1.0215607232091045e-8	4.787215186035065e-9	-2.8740590285850777e-10	1.6536258196074356e-9	-1.2910136169571752e-10	-1.6798027215356745e-10	1.0163422711338086e-7	7.989954716506387e-8	-1.7827243747056983e-11	-2.973544729514932e-11	-7.567169687118787e-11	-7.171589379594292e-11	1.0184455386924644e-9	1.4211558750634543e-9	-7.212621713963824e-11	-8.068522822730491e-11	-3.306769346771834e-11	-5.882412481634701e-11	1.5948717998783855e-9	2.1295153870864013e-9	8.193542333779217e-6	1.2753681478386039e-5
7.0	-7.552692788927293e-6	-5.385418855893166e-6	3.3810332872967475e-6	2.880355274344909e-6	1.568844427242069e-6	1.994590823556469e-6	0.24999983906566847	0.19715428143417346	6.036211085732289e-6	5.033238325609889e-6	-2.4092387905497083e-6	-1.7976418231180867e-6	-0.020170346105367394	-0.020321368056456814	-1.3045154013499824e-7	-1.5407270769418024e-7	-8.628595932608569e-7	-7.068128238267836e-7	1.237580015414199e-9	1.7607405390677052e-9	-1.316084467567017e-7	-1.2577437687608473e-7	-4.883078990908637e-11	-5.5683380326624797e-11	4.62725451977539e-8	3.655530787228022e-8	9.658506142115939e-12	-1.802581694234525e-11	-4.94209474665664e-11	-3.4861324771105094e-11	4.927662452229474e-10	7.041510269839858e-10	-1.1218817548709868e-11	-2.189814553762687e-11	-4.1398983527532466e-11	-5.1190621960890665e-11	8.073721737551239e-10	1.0720254126908989e-9	4.0940743793922e-6	6.384572754999012e-6
8.0	-7.261703166189126e-6	-5.167671612390456e-6	3.6134986012321037e-6	2.9557757910255106e-6	1.6503443486966184e-6	1.5692749711703274e-6	0.19715428143417346	0.2499998662776964	5.4491047924432046e-6	4.6235851389594615e-6	-2.4908920754992568e-6	-1.943500155413957e-6	-0.0201819529105686	-0.02033265593034416	-1.6145891503592373e-7	-1.595286828954239e-7	-1.0143626993203115e-6	-8.22785054637634e-7	2.311401205975383e-9	2.1271765235910594e-9	-1.5125240370665634e-7	-1.4543009374103886e-7	-2.0250444262848096e-11	-8.899387358755531e-11	4.4821400102274924e-8	3.525914950421166e-8	-1.8801765723725482e-11	8.042514660265384e-12	-2.979915192947952e-11	-4.791115516976183e-11	4.813397688730697e-10	6.828297377320549e-10	-2.2981452162507586e-11	-1.599991834628522e-11	-3.446518074303239e-11	-5.458671481832605e-11	7.788165731938732e-10	1.0334204818111554e-9	3.9466551566177464e-6	6.153125150979389e-6
9.0	-7.3560829088105496e-6	-8.64493607758314e-6	0.03924125786128003	0.02828811552890467	-8.310122005090081e-7	-1.010618353219089e-6	6.036211085732289e-6	5.4491047924432046e-6	0.24999985951011716	0.14559256420562888	-9.986530962506027e-8	-2.2766718552776816e-7	-1.881403696615346e-6	-1.6376489504379892e-6	-1.6326527834124155e-10	-1.4243498876235623e-10	-3.951404293778659e-7	-2.0576436829064805e-7	1.3439191336136366e-8	4.641021852852803e-9	6.582308912610891e-11	7.557773540314447e-11	-6.680679081663537e-11	-9.906828563212425e-11	7.585395056031383e-8	5.964490772829882e-8	2.0093063804768098e-11	2.0731301244145186e-11	-4.531269651326362e-11	-4.9543715815407684e-11	5.639134117848528e-10	7.970457719367589e-10	7.760573767133474e-12	6.326676799357397e-12	-2.068376457852569e-11	-3.400965209173129e-11	8.463935047052807e-10	1.1257189134151202e-9	4.242977958511957e-6	6.597851474791744e-6
10.0	-5.308568737172684e-6	-5.1392354713502425e-6	0.026242012426578816	0.018418457973216035	-9.704873550168969e-7	-1.0511590711860877e-6	5.033238325609889e-6	4.6235851389594615e-6	0.14559256420562888	0.24999982529732634	-1.1030920106915119e-7	-2.8974310655977913e-7	-1.2993438530130294e-6	-1.139327963330444e-6	-2.1516012599172084e-10	-2.1080834248171934e-10	-1.1907255021102506e-7	-6.343576264079282e-8	1.4508262640431564e-8	4.771331599399821e-9	-1.4945546631386844e-10	8.394179897757889e-11	-4.654914942821114e-11	-6.062706153074959e-11	5.589514704679723e-8	4.339529884391848e-8	9.112653176815822e-12	6.410877306604772e-12	-3.5729869117723153e-11	-3.479677045075409e-11	4.06265077851281e-10	5.745997556935924e-10	4.5340491563081205e-12	1.6220201504481716e-12	-2.133699816335545e-11	-2.9885571004586357e-11	6.18819589917369e-10	8.168091404236055e-10	3.0879139517268995e-6	4.789910826133519e-6
