# sweep	energy	spin	maxdim	dmrg_maxerr
1	-7.3054518699646	0.48225918412208557	50	9.5007722848095e-5
2	-7.365143299102783	0.47041818499565125	100	3.6340741644380614e-5
3	-7.397585391998291	0.46946391463279724	150	4.3151434510946274e-5
4	-7.421241760253906	0.4690183699131012	200	3.7087327655171975e-5
5	-7.432419776916504	0.46841350197792053	300	4.329781859269133e-6
6	-7.437355041503906	0.467789888381958	400	1.0776128647194128e-6
7	-7.439521312713623	0.4672854244709015	500	2.0146411827681732e-7
8	-7.440589904785156	0.46689414978027344	700	1.9357711877887596e-8
9	-7.4412384033203125	0.46659883856773376	900	4.465953828969305e-9
10	-7.441719055175781	0.46637189388275146	1200	7.906549859271195e-10
11	-7.442075729370117	0.4661736786365509	1600	1.3172800350513825e-10
12	-7.4423747062683105	0.4660109877586365	1656	9.997529193395138e-11
13	-7.442621231079102	0.4658525288105011	1677	1.6402141866933562e-8
14	-7.442864418029785	0.4657119810581207	1685	5.638575117927758e-8
15	-7.44304895401001	0.4655912220478058	1686	1.5577039391700964e-7
16	-7.443215370178223	0.4654833674430847	1696	5.877479125615537e-8
17	-7.443350791931152	0.46538177132606506	1688	1.2686243167081557e-7
18	-7.4434919357299805	0.465301513671875	1694	4.397452002535829e-8
19	-7.443596363067627	0.465224951505661	1701	6.469102942219251e-8
20	-7.443682670593262	0.46515902876853943	1676	7.467610885214526e-8
21	-7.443767070770264	0.46509671211242676	1676	9.212763529831136e-8
22	-7.44381856918335	0.46503946185112	1660	2.1681992734556843e-7
23	-7.443872451782227	0.46498844027519226	1652	4.755261073796646e-8
24	-7.443930625915527	0.4649471640586853	1619	1.3880793403586722e-7
25	-7.443985462188721	0.46490490436553955	1604	8.969048792550893e-8
26	-7.444028377532959	0.46487170457839966	1577	8.70251568585445e-8
27	-7.444042205810547	0.4648422300815582	1580	9.509414411468242e-8
28	-7.444089889526367	0.46481549739837646	1569	3.750969312932284e-9
29	-7.4441046714782715	0.4647914171218872	1567	8.786384597669894e-8
30	-7.444128513336182	0.464770644903183	1551	6.606245506191044e-8
31	-7.4441423416137695	0.4647503197193146	1542	3.3057311554784974e-8
32	-7.444150924682617	0.46473219990730286	1553	5.715013884355358e-8
33	-7.444177627563477	0.4647178649902344	1523	3.520147373592408e-8
34	-7.4441819190979	0.4647042155265808	1512	6.55828671369818e-8
35	-7.444203853607178	0.46469348669052124	1495	7.229271403730309e-8
36	-7.444214344024658	0.46468114852905273	1476	8.90254341356922e-8
37	-7.44422721862793	0.46467170119285583	1447	4.2132214161938464e-8
38	-7.444231986999512	0.4646618068218231	1432	4.811731812992548e-8
39	-7.44423770904541	0.46465519070625305	1438	4.3868467969332414e-8
40	-7.444244861602783	0.4646487832069397	1427	1.0765184299543762e-7
41	-7.444248676300049	0.46464329957962036	1438	6.809452202105604e-8
42	-7.444230079650879	0.46463724970817566	1410	1.0426619567738271e-8
43	-7.444258689880371	0.46463456749916077	1424	9.808231027363945e-8
44	-7.444260120391846	0.4646315574645996	1434	1.891488352612214e-7
45	-7.444273948669434	0.46462926268577576	1459	2.7980146199979572e-8
46	-7.4442596435546875	0.46462559700012207	1444	6.196021473670044e-8
47	-7.444275856018066	0.46462318301200867	1415	1.0517541682020237e-7
48	-7.444264888763428	0.46462300419807434	1420	8.669222495427675e-8
49	-7.44426155090332	0.46461957693099976	1463	4.520062191204488e-8
50	-7.444271564483643	0.46461835503578186	1421	5.225189170232625e-8
51	-7.44427490234375	0.4646167457103729	1419	3.4132899173755504e-8
52	-7.444270610809326	0.46461576223373413	1472	8.967136011506227e-8
53	-7.44426965713501	0.4646155834197998	1475	2.8049591094259085e-8
54	-7.444281101226807	0.4646145701408386	1458	5.148469028881664e-8
55	-7.444268226623535	0.46461355686187744	1478	4.2094182362006904e-8
56	-7.444270610809326	0.4646132290363312	1469	4.0311576299245644e-8
57	-7.4442830085754395	0.4646124541759491	1470	5.124883273310843e-8
58	-7.4442877769470215	0.4646124839782715	1505	6.265619845180481e-8
59	-7.444275856018066	0.46461161971092224	1462	3.413823890241474e-8
60	-7.4442830085754395	0.46461138129234314	1467	2.7082347031637255e-8
61	-7.444278240203857	0.4646131992340088	1519	1.0957627694097027e-7
62	-7.444281101226807	0.46461132168769836	1495	1.424889450873934e-8
63	-7.444269180297852	0.46461063623428345	1513	9.623157382065983e-8
64	-7.444280624389648	0.46461132168769836	1482	1.351563660989541e-8
65	-7.444291591644287	0.4646095335483551	1515	1.9177201693310053e-7
66	-7.444270133972168	0.4646088480949402	1479	1.3888106309423165e-7
67	-7.444290637969971	0.46461063623428345	1505	6.499392668501969e-8
68	-7.444278240203857	0.4646080434322357	1469	1.5193892011211574e-7
69	-7.444282054901123	0.4646095037460327	1493	6.053910794889816e-8
70	-7.444281578063965	0.4646083414554596	1458	4.2399303623597007e-8
71	-7.4442830085754395	0.4646095931529999	1479	9.997399436079135e-11
72	-7.444283485412598	0.46460890769958496	1434	7.260005219222876e-8
73	-7.444282054901123	0.4646083116531372	1465	1.7615274572335693e-8
74	-7.444299221038818	0.4646092355251312	1433	7.01800360047855e-8
75	-7.444284439086914	0.46460992097854614	1450	9.612636375777583e-8
76	-7.444274425506592	0.4646075665950775	1458	2.1122161797393346e-8
77	-7.444279193878174	0.46460768580436707	1440	8.972372711468779e-8
78	-7.444289684295654	0.46460816264152527	1438	1.494077572772312e-8
79	-7.4442853927612305	0.46460866928100586	1435	3.371322776501984e-8
80	-7.444291591644287	0.46460798382759094	1409	4.552643062538664e-8
