# i	21
1.0	-0.46123912930488586
2.0	-0.29764097929000854
3.0	1.536574200144969e-5
4.0	1.1216699931537732e-5
5.0	-8.342884939338546e-6
6.0	-6.52127937428304e-6
7.0	4.616079877450829e-6
8.0	4.489064394874731e-6
9.0	-0.13037452101707458
10.0	-0.10407966375350952
11.0	-3.3228513984795427e-6
12.0	-3.6051137612957973e-6
13.0	-1.066484998091255e-7
14.0	-5.570891516981646e-7
15.0	-1.963354407052975e-5
16.0	-2.7941239750362e-5
17.0	2.416135794192087e-5
18.0	1.8380645997240208e-5
19.0	8.04688170319423e-6
20.0	6.681865215796279e-6
21.0	-0.3464754521846771
22.0	-0.35034167766571045
23.0	8.198995783459395e-5
24.0	0.00010205231228610501
25.0	-6.075062174204504e-6
26.0	-4.681162863562349e-6
27.0	-2.508771103748586e-6
28.0	-2.3382781364489347e-6
29.0	-1.3426107159375533e-7
30.0	-6.104787786398447e-8
31.0	-1.1094887668150477e-5
32.0	-1.3189336641517002e-5
33.0	-3.3692667784634978e-6
34.0	-3.315371031931136e-6
35.0	4.1685463656904176e-5
36.0	5.024233541917056e-5
37.0	4.142904799664393e-6
38.0	6.4820528677955735e-6
39.0	-0.09683606773614883
40.0	-0.14588835835456848
